Date,Group,Sales
2013-07-01,1,148.82835311218301
2013-07-02,1,159.79375714468
2013-07-03,1,111.885593514353
2013-07-04,1,168.86494097993099
2013-07-05,1,171.28075411795501
2013-07-06,1,174.55235999847599
2013-07-07,1,92.637755378837298
2013-07-08,1,135.50024404239201
2013-07-09,1,136.04838277834401
2013-07-10,1,135.13231428958099
2013-07-11,1,138.549392636714
2013-07-12,1,101.44751146129801
2013-07-13,1,141.23330988373201
2013-07-14,1,112.52436570876201
2013-07-15,1,161.264677322182
2013-07-16,1,116.82135817421501
2013-07-17,1,150.57291959283799
2013-07-18,1,101.90072129658
2013-07-19,1,161.63511518653999
2013-07-20,1,134.328076682024
2013-07-21,1,66.288757816195499
2013-07-22,1,131.223948997842
2013-07-23,1,110.31524679666499
2013-07-24,1,141.891908195545
2013-07-25,1,167.70121664090701
2013-07-26,1,147.272084366206
2013-07-27,1,161.40335779511199
2013-07-28,1,86.079143244665403
2013-07-29,1,183.56416440059101
2013-07-30,1,132.111640117897
2013-07-31,1,144.745431773143
2013-08-01,1,157.85402301110599
2013-08-02,1,117.359342094889
2013-08-03,1,186.02717877007899
2013-08-04,1,104.70821668771499
2013-08-05,1,146.775309890073
2013-08-06,1,131.956277381283
2013-08-07,1,160.593417296116
2013-08-08,1,153.099424561652
2013-08-09,1,125.620344387906
2013-08-10,1,185.177162656408
2013-08-11,1,73.208833003999203
2013-08-12,1,154.504729536697
2013-08-13,1,134.064451548102
2013-08-14,1,156.97251053686901
2013-08-15,1,164.76379539975599
2013-08-16,1,147.79799759804001
2013-08-17,1,221.63041800601701
2013-08-18,1,92.489778506025999
2013-08-19,1,145.87913275727999
2013-08-20,1,111.842396126739
2013-08-21,1,125.336522713024
2013-08-22,1,132.91642822030201
2013-08-23,1,162.95895870310599
2013-08-24,1,201.543109556297
2013-08-25,1,83.022672573955106
2013-08-26,1,165.82903167671401
2013-08-27,1,118.473650434102
2013-08-28,1,108.876991442649
2013-08-29,1,178.178023803315
2013-08-30,1,133.150828452892
2013-08-31,1,130.82131489843499
2013-09-01,1,95.970431489247105
2013-09-02,1,138.40872321046501
2013-09-03,1,138.82561892784301
2013-09-04,1,100.221969526295
